[2019-04-25T15:36:33.524] [DEBUG] myLog - show this line lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T15:40:40.909] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T17:14:05.537] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T17:15:04.618] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T17:30:29.760] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T17:31:32.063] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T17:37:43.871] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T17:38:55.857] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T17:43:04.624] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T17:57:30.722] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T17:59:06.723] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T18:03:50.081] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T18:09:38.983] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T18:11:26.273] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
[2019-04-25T18:37:48.819] [debug] myLog - (msg: show this line) lne(<anonymous>(): events-broadcast/test.js:37:8)
